NAMA RUMAH;HARGA;Luas bangunan;Luas tanah;Kamar tidur;Kamar mandi;Kapasitas mobil dalam garasi
Rumah Asri Di Kebon Baru, Tebet - Dijual Cepat;0,0719;0,1759;0,127;0,375;0,2222;0,1111
Rumah Asri Di Tebet - Dijual Cepat;0,0344;0,0818;0,0193;0,375;0,2222;0
Dijual Rumah Minimalis Siap Huni Daerah Tebet, Jakarta Selatan;0,0234;0,0724;0,0171;0,125;0,2222;0
Dijual Rumah Lama Layak Huni Daerah Tebet , Jakarta Selatan;0,1391;0,1289;0,2125;0,25;0,3333;0
Rumah baru tebet timur;0,0438;0,1289;0,0565;0,125;0,2222;0,1111
Dijual Rumah Komplek Tebet Barat Lokasi Premium Nyaman Jalan Lebar;0,1328;0,223;0,2333;0,25;0,2222;0,2222
Dijual Rumah Komplek Gudang Peluru Lokasi Premium Nyaman Jalan 3 Mobil;0,1406;0,27;0,1627;0,25;0,2222;0,3333
Dijual Rumah Cantik Tebet Lokasi Premium Nyaman Jalan 2 Mobil;0,1797;0,3782;0,2199;0,5;0,5556;0,1111
Rumah Tua Hook di Tebet, Jakarta Selatan. Akses Mobil dan Ada Garasi;0,0266;0,0677;0,0713;0,25;0,1111;0,2222
Tebet barat rumah modern minimalis private pool, jakarta selatan;0,1375;0,317;0,1441;0,375;0,4444;0,2222
TEBET BARAT RAYA Rumah Hitung Tanah Cocok Tinggal, Kantor dan Usaha, Bisa Belah 2 Dekat Taman Honda;0,1641;0,317;0,1828;0,875;0,5556;0,5556
Rumah Siap Huni di Tebet Dalam IV, Jln 1 Mobil Dekat ke 3 Mobil, Sudah Sertifikat;0,025;0,0536;0,0654;0,25;0,1111;0
Dijual Cepat Rumah Kavling di Tebet Ready 3 Unit;0,0328;0,0536;0,0238;0,375;0,3333;0,1111
Rumah Tebet Saharjo;0,057;0,2418;0,0602;0,5;0,4444;0
Rumah Cantik Tebet;0,1211;0,1759;0,1085;0,25;0,3333;0,1111
Dijual Rumah Cantik Tebet Brand New Lokasi Premium Nyaman Jalan Lebar;0,0969;0,1759;0,0795;0,125;0,2222;0,1111
Dijual Rumah Lama Tebet Dalam Lokasi Strategis Tenang Jalan 2 Mobil;0,1094;0,1759;0,1828;0,125;0,2222;0,1111
KEBON BARU Rumah Hitung Tanah Jalan Dua Mobil Lingkungan Nyaman;0,0625;0,1759;0,2088;0,625;0,4444;0
TEBET - SIAP HUNI di Jalan 2 Mobil;0,1172;0,1853;0,1501;0,375;0,4444;0,1111
Rumah Komersial area Tebet Raya;0,4219;0,8815;0,5357;0,375;0,2222;0,4444
Rumah Tebet Siap Huni Kompleks Gudang Peluru Tebet;0,1328;0,317;0,2162;0,375;0,2222;0
Dijual Rumah Second Akses 1 Mobil di Tebet Dalam Jakarta Selatan;0,0438;0,1289;0,0639;0,25;0,2222;0
Rumah Minimalis Jalan 1 Mobil Tebet;0,0258;0,0583;0,0267;0,125;0,2222;0,1111
Dijual Rumah Cantik Tebet Lokasi Strategis Nyaman Jalan 2 Mobil;0,1719;0,1571;0,1412;0,375;0,3333;0,2222
Rumah Hitung Tanah di Komplek Kejaksaan Tebet Barat, Belakang Gelael, Dekat Pintu Tol MT Haryono;0,0359;0,1007;0,0743;0,375;0,2222;0,1111
Rumah di Tebet Timur Dalam I, Jln Besar 3 Mobil, Seberang Electronic City, Lebar Muka 8 Meter;0,0453;0,1853;0,0684;0,125;0;0
Rumah Tua Akses Jalan 2 Mobil Di Tebet Barat Jakarta Selatan;0,1063;0,1289;0,1478;0,25;0,2222;0,2222
Rumah Brand New Di Tebet Barat;0,0578;0,1289;0,0713;0,25;0,3333;0,1111
For Sale Boarding House at Tebet & Furnished HSE-A0494;0,1016;0,3584;0,1085;1;1;0,1111
Rumah Lama Di Tebet Barat;0,2344;0,317;0,2571;0,375;0,3333;0,3333
Jual Segera, Rumah Hitung Tanah Di Tebet Dalam;0,025;0,0536;0,0654;0,125;0,1111;0
rumah siap huni dalam kompleks Tebet Mas, Tebet, Jakarta Selatan;0,1875;0,1759;0,1991;0,25;0,2222;0,1111
Rumah 100% Baru Di Tebet, Murah, Jalan 2 Mobil, Tebet, Jakarta Selatan;0,0547;0,1759;0,0312;0,25;0,4444;0,1111
rumah siap huni di lokasi kebon baru, tebet, jakarta selatan;0,0445;0,1289;0,0981;0,125;0,1111;0,1111
Rumah siap huni dijual, murah, tebet, Jakarta Selatan;0,0141;0,0583;0,0587;0,125;0,2222;0
Di Jual Cepat Rumah Di Tebet;0,2188;0,4111;0,2452;0,25;0,2222;0,2222
Rumah tua hitung tanah di Tebet Timur;0,1094;0,0988;0,1241;0,375;0,2222;0,1111
Rumah Bagus Dalam Kompleks Prime Tebet;0,2188;0,3923;0,2407;0,375;0,3333;0
Minimalis Jalan 1 Mobil Tebet Dekat Sekolah 115;0,0266;0,0583;0,0267;0,125;0,2222;0,1111
Tebet Rumah Mewah, Design Klasik, Siap Huni;0,2656;0,6933;0,2281;0,375;0,3333;0
Minimalis Baru Jalan 2 Mobil Tebet Timur;0,0547;0,1759;0,0312;0,375;0,3333;0
Rumah Siap Huni Tebet;0,0859;0,1289;0,1248;0,25;0,1111;0
Rumah Lama Tebet Timur;0,0469;0,1289;0,0684;0,125;0;0
Rumah Baru, Mewah & Strategis Di Tebet Barat, JakSel;0,0469;0,0818;0,049;0,25;0,2222;0
Rumah bagus layout nyaman banyak bonus, harga bagus di Tebet;0,0469;0,1759;0,0602;0,25;0,4444;0
Dijual Rumah Siap Huni di Tebet, Jakarta Selatan;0,125;0,3829;0,2221;0,875;0,5556;0,2222
Tebet Timur Rumah Lama;0,1016;0,1289;0,1738;0,25;0,1111;0
Rumah Model Villa Taman Lebar Di Tebet Jaksel;0,0703;0,1289;0,2972;0,125;0,3333;0
Dijual Rumah Secondary Luas di tebent Lokasi Strategis;0,3438;0,27;0,3796;0,375;0,2222;0,3333
Dijual Rumah Mnmls Ada Mini Swpool Tebet Jaksel;1;0,223;0,1085;0,375;0,6667;0,3333
Rumah Tebet Barat;0,1133;0,317;0,1308;0,5;0,3333;0,1111
Rumah Rasamala Turun Harga Rmh Siap Huni Blkg Bidakara Jaksel;0,1172;0,223;0,1122;0,25;0,3333;0,3333
Dijual Rumah 2 Lt Tebet Jaksel, Jl 2 Mobil;0,1523;0,1289;0,1003;0,375;0,3333;0,2222
Dijual rumah di Kebun Baru, Tebet Jakarta Selatan;0,0228;0,096;0,0602;0,25;0,2222;0
TEBET, LAPANGAN ROS, BUKIT DURI, JAKARTA SELATAN;0,0391;0,0583;0,0736;0,125;0,1111;0
House mewah tebet;0,4531;0,7074;0,1917;1;0,6667;0
Dijual Rumah Komplek Gudang Peluru Lokasi Premium Nyaman Jalan 2 Mobil;0,0703;0,2041;0,1204;0,25;0,2222;0,2222
Dijual Rumah 2lantai Di Tebet Barat Dalam Strategis Dekat Perkantoran;0,1406;0,223;0,2333;0,25;0,3333;0,3333
Rumah tebet timur raya, depan taman tebet;0,3891;0,5052;0,7318;0,625;0,4444;1
Rumah Siap Huni Tebet Timur;0,0312;0,0367;0,0357;0,125;0,2222;0,1111
Turun Harga Rumah Mewah Tebet Jakarta Selatan;0,0765;0,27;0,0565;0,5;0,5556;0,2222
Cluster Cipinang Mal Bassura;0,0351;0,0536;0,0728;0,25;0,3333;0,3333
Rumah Siap Huni Tebet;0,0742;0,2418;0,0958;0,5;0,2222;0,2222
Tebet Rumah Bagus Dijual;0,0859;0,223;0,1181;0,375;0,3333;0,3333
Dijual rumah di tebet, jalan depan rumah 2 mobil, dekat dari jalan raya;0,0859;0,1477;0,0944;0,75;0,5556;0
4 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta;0,0594;0,1759;0,0862;0,25;0,3333;0,2222
Rumah Model Minimalis jalan Lebar;0,2344;0,4111;0,2719;0,25;0,3333;0,3333
Tebet Dalam Rumah Siap Huni Dalam Komplek;0,1875;0,2982;0,1917;0,25;0,2222;0,1111
Rumah Siap Huni Dijual Jalan 2 Mobil;0,0938;0,1101;0,1701;0,25;0,2222;0,1111
4 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta;0,0281;0,1759;0,0267;0,25;0,2222;0,1111
Dijual Rumah Tebet Timur Raya Depan Taman Honda;0,3125;0,5174;0,4153;0,875;0,3333;0,1111
Dijual Rumah Tebet Lokasi Strategis Nyaman Depan Taman Jalan 1 Mobil;0,0516;0,0508;0,1122;0,25;0,2222;0,2222
Dijual Rumah Tebet Timur Lokasi Premium Nyaman Jalan 2 Mobil;0,0516;0,1289;0,0676;0,125;0,2222;0,1111
Dijual Rumah Hitung Tanah Asem Baris Raya Lokasi Strategis Aman Jalan Raya;0,0703;0,223;0,1575;0,5;0,3333;0,3333
Jual Rumah Di Tebet Jakarta Selatan;0,125;0,3829;0,2221;0,875;0,5556;0,2222
Rumah Bagus Akses Jalan 2 Mobil TERMURAH di Tebet Utara, Jaksel;0,0391;0,1195;0,0342;0,375;0,3333;0,1111
Rumah Megah SIAP HUNI TERMURAH di Tebet Timur, Jakarta Selatan;0,1875;0,317;0,2786;0,875;0,4444;0,4444
Rumah Siap Huni Di Asem Baris Kebon Baru Tebet Jakarta Selatan;0,0203;0,0913;0,0602;0,25;0,2222;0
Tebet rumah dijual jalan 2 mobil lebar lokasi strategis;0,0953;0,1289;0,1501;0,375;0,2222;0,2222
Rumah Siap Huni 2lantai Akses 2mbl Lokasi Tebet Barat;0,0469;0,0818;0,0342;0,125;0,2222;0
Rumah Siap Huni Akses jalan 2 mobil di asem baris tebet;0,0469;0,0762;0,0535;0,25;0,1111;0,2222
Dijual rumah tua perlu renovasi akses jalan 2mobil lokasi dekat lapangsn bola pspt;0,043;0,0818;0,0602;0,125;0,1111;0
Rumah Bagus Siap Huni Di Tebet Timur Dalam Jak Sel;0,0469;0,0818;0,0639;0,25;0,1111;0,1111
Rumah Mewah 3 Lantai Jalan Swadaya I Tebet ( FA);0,0781;0,3641;0,153;0,625;0,3333;0
Rumah Baru 2 Lt Dekat Taman dan Pasar Tebet Barat PALING MURAH di Tebet Barat, Jakarta;0,0242;0,0818;0,0267;0,25;0,3333;0,1111
Dijual Rumah Second Strategis Tanah Luas di Tebet;0,3438;0,27;0,3796;0,375;0,2222;0,3333
Rumah Clasic Asem Baris Tebet Jakarta Selatan Hitung Tanah Saja Setrategis Dekat Mt Haryono;0,1281;0,5522;0,4762;0,875;0,5556;0
Rumah lama hitung Tanah di Tebet;0,1016;0,1101;0,1478;0,125;0,1111;0
Rumah Tebet Hitung Tanah;0,207;0,27;0,2519;0,375;0,3333;0
Brand New House Di Lokasi Iconic Tebet;0,0469;0,1439;0,0602;0,375;0,3333;0,1111
Tebet Rumah Minimalis;0,0758;0,1477;0,0624;0,25;0,2222;0,1111
Rumah Minimalis Bagus Tebet Timur;0,0266;0,0913;0,0267;0,125;0,2222;0
Dijual Rumah Tebet Hitung Tanah Lokasi Strategis Jalan 1 Mobil;0,0352;0,1289;0,0765;0,625;0,2222;0
Rumah tebet jalan lebar nyaman keamanan 24 jam dekat kemana mana;0,1375;0,27;0,1434;0,25;0,2222;0,1111
Dijual Rumah Asri Komplek Tebet Mas Lokasi Premium Nyaman Jalan 2 Mobil;0,1719;0,27;0,136;0,25;0,2222;0,1111
Rumah dijual di Tebet Raya;0,2734;0,223;0,3462;0,375;0,3333;0,1111
Rumah Mewah Di Tebet Turun Harga Menjadi Rp 14,5 M, Ada Swimmung Pool;0,2109;0,4111;0,188;1;0,6667;0,1111
Rumah Di Jual Di Tebet;0,1125;0,223;0,153;0,25;0,3333;0,2222
Rumah Di Jual, Brand New, Tebet Barat;0,0266;0,0536;0,0282;0,125;0,2222;0,1111
Dijual Rumah minimalis di Bukit Duri, Tebet;0,0234;0,0546;0,0342;0,125;0,1111;0,1111
Rumah Hoek Tebet Jakarta Mewah, Lokasi Strategis Selangkah ke Masjid;0,1391;0,27;0,1456;0,375;0,2222;0,1111
Rumah Tebet Jakarta Selatan, depan Lapangan, Dijual Cepat Harga BU;0,05;0,2088;0,0788;0,375;0,5556;0
Rumah Di Tengah Pusat Bisnis Dekat Jalan Gatot Subroto Jaksel;0,1406;0,2728;0,3574;1;1;0,6667
Rumah Dalam Komplek Di Gudang Peluru - Tebet Blok N348;0,0625;0,1477;0,1211;0,125;0,2222;0
Tebet, Siap Huni, jalan 2 mobil;0,0516;0,1759;0,0267;0,25;0,3333;0,1111
Rumah 2 Lantai Lokasi Strategis Akses 2 Mbl Asem Baris Tebet;0,0313;0,1759;0,0527;0,125;0,1111;0
Rumah Lama Layak Huni Akses 2 Mbl Lapangan Ros Tebet Jaksel;0,0313;0,063;0,0862;0,25;0,2222;0
Rumah Baru Design Modern Posisi Hook Lokasi Tebet Timur;0,0375;0,1007;0,0416;0,25;0,3333;0,1111
rumah baru 2lantai siap huni akses jalan 1mobil lokasi tebet timur;0,0344;0,0818;0,0267;0,125;0,1111;0
Rumah Siap Huni Akses 1mobil Lokasi Tebet Timur;0,0313;0,0818;0,0416;0,25;0,2222;0,1111
Rumah Baru Siap Huni Semi Furnish Akses 1mobil Lokasi Tebet Utara;0,0344;0,1383;0,0275;0,375;0,2222;0
Dijual rumah baru Lokasi tbt timur;0,0359;0,0818;0,0267;0,125;0,1111;0
Rumah Siap Huni Di Tebet, Lingkungan Nyaman;0,0734;0,1759;0,101;0,25;0,2222;0
Rumah Siap Huni Di Kebon Baru Jaksel;0,0172;0,1176;0,0527;0,5;0,3333;0
Di jual Rumah di tebet;0,0469;0,0245;0,0899;0,125;0,2222;0,1111
good house at jaksel tebet;0,0188;0,0536;0,1233;0,375;0,2222;0
goood house at jakarta selatan tebet;0,1172;0,1609;0,1828;0,375;0,3333;0
Jual Cepat Rumah Di Tebet;0,1484;0,27;0,1434;0,375;0,4444;0,2222
Rumah Tebet Dekat Mall Kokas BU Harga Covid;0,014;0,0818;0,0602;0,25;0,1111;0
Rumah Tebet Barat Dalam Jakarta Selatan;0,125;0,3161;0,2452;0,125;0,2222;0
Dijual Termurah Rumah Siap Huni di Tebet Utara Jakarta Selatan;0,0391;0,1101;0,0342;0,375;0,3333;0
TEBET MAS Rumah Nyaman Dalam Komplek Elit Dekat Taman JARANG ADA;0,1875;0,1759;0,1991;0,25;0,2222;0,1111
Dijual Rumah di Tebet Utara, akses 2 mobil, Jakarta Selatan;0,1063;0,0913;0,1538;0,125;0,3333;0,1111
Dijual Rumah Tebet Barat Lokasi Premium Tenang Jalan Lebar;0,1094;0,1289;0,11;0,375;0,2222;0,2222
Dijual Murah Rumah Mewah di Tebet Utara Jakarta Selatan;0,1094;0,3641;0,1872;0,375;0,3333;0
Rumah Lama Layak Huni Tebet Jak Sel;0,0297;0,0254;0,0602;0;0;0
Rumah Siap Huni Baru Renovasi Di Tebet Utara Jak Sel;0,0234;0,0395;0;0,125;0,1111;0
Rumah Siap Huni Model Minimalis Di Tebet Jakarta Selatan;0,025;0,1101;0,0305;0,25;0,1111;0
TEBET - Bagus Untuk Investasi di Jalan 1 Mobil;0,0266;0,0536;0,0654;0,125;0,1111;0
Rumah dijual di Tebet;0,0766;0,2606;0,0594;0,375;0,3333;0,2222
Rumah huk di Tebet jalan satu mobil lebar;0,0313;0,1759;0,0713;0,125;0,2222;0,1111
Rumah baru di Tebet Barat dekat jalan dua mobil;0,0391;0,0913;0,0475;0,25;0,3333;0,1111
Rumah di Tebet Barat bagus terawat dekat fasum;0,0344;0,0611;0,0624;0,125;0,1111;0
TEBET - Siap Huni, Bagus, Akses 2 Mobil;0,0672;0,1289;0,0676;0,125;0,2222;0,1111
TEBET - Depan Taman, Baru, Jalan 2 Mobil;0,0859;0,1477;0,0713;0,125;0,2222;0
Jual Cepat Rumah Di Casablanca Jakarta Selatan;0,0781;0,223;0,1709;0,625;0,2222;0,2222
Rumah Baru dijual di Tebet Barat, lokasi strategis;0,0391;0,1289;0,0602;0,125;0,2222;0,1111
Dijual Rumah Di Jl. Kebon Baru Utara, Tebet Jakarta Selatan;0,0278;0,1214;0,049;0,375;0,3333;0,1111
Rumah baru 100% bergaya mewah tebet Jakarta selatan;0,0438;0,0913;0,0825;0,25;0,2222;0
Dijual Rumah Baru Dengan Design Minimalis Di Tebet;0,0547;0,1054;0,0527;0,125;0,2222;0,1111
Dijual Rumah Brand New, Ada Taman, Lingkungan Tenang Di Tebet Barat;0,0859;0,27;0,1308;0,25;0,3333;0,1111
Dijual Rumah Dalam Komplek Elit Tebet Mas Lokasi Paling Premium di Tebet;0,0703;0,223;0,0639;0,125;0,2222;0,1111
Dijual Rumah di Tebet Utara, akses 2 mobil;0,1063;0,0913;0,1538;0,125;0,3333;0,1111
TERJUAL Rumah Di Bukit Duri Area Komersil;0,0453;0,0818;0,1456;0,25;0,1111;0,1111
DIJUAL CEPAT HARGA MURAH ( BU CEPAT) Rumah 700 m2 Di TEBET;0,1281;0,3641;0,4799;0,75;0,3333;0,3333
Dijual rumah siap huni 2lantai full strategis dekat kokas akes jalan2mobil lokasi menteng dalam;0,0188;0,0818;0,0208;0,375;0,1111;0,1111
Rumah Siap Huni Hanya 50m Dari Dan Ke Asem Baris Raya Tebet;0,0172;0,0348;0,0535;0;0,1111;0
Rumah Bagus Siap Huni Pinggir Jalan 2 Mbl Asem Baris Tebet;0,018;0,0536;0,0602;0,125;0,1111;0
Dijual rumah di Asem baris, Akses jalan 2 mobil;0,0156;0,0348;0,0423;0;0,1111;0
Rumah baru siap huni di tebet barat;0,0469;0,1439;0,0602;0,375;0,3333;0,1111
TEBET RAYA Rumah Layak Huni Dekan Stasiun;0,3281;0,27;0,2927;0,5;0,6667;0,1111
Dijual Rumah Komplek Tebet Lokasi Premium Tenang Jalan Lebar;0,1875;0,1439;0,2452;0,125;0,2222;0,1111
TEBET RAYA Jalan Lebar Cocok Untuk Resto dan Kantor;0,2188;0,1637;0,2474;0,375;0,3333;0,2222
TEBET RAYA AREA KOMERSIL Rumah Siap Huni Bisa Dibangun 4 Lantai;0,3281;0,223;0,3462;0,25;0,3333;0,1111
3 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta;0,0188;0,0536;0,0342;0,125;0,1111;0
Rumah Second Terawat Dan Setrategis Tebet Jakarta Selatan;0,3438;0,27;0,3796;0,375;0,2222;0,3333
Rumah tebet dekat mall kokas;0,0266;0,0677;0,0245;0,125;0,1111;0,1111
Rumah Baru di Jln Tebet Timur Jakarta Selatan;0,0562;0,1007;0,0609;0,375;0,3333;0,1111
Dijual Rumah 1,5 Lantai Di Tebet Dalam;0,3125;0,223;0,3314;0,25;0,2222;0,3333
Dijual Cepat Rumah Bagus di Tebet, Siap huni;0,0391;0,1007;0,0342;0,375;0,2222;0,2222
Dijual Rumah Baru di Tebet, Elite;0,0453;0,1091;0,0654;0,375;0,3333;0,1111
Dijual Brand New Rumah Tebet, Ada Swimming Pool;0,375;0,5992;0,4198;0,375;0,3333;1
Dijual Rumah Baru di Tebet, Jalan 1 mobil Lebar, Jakarta Selatan;0,0453;0,1091;0,0654;0,375;0,3333;0,1111
Dijual Rumah Elite di Tebet, Jakarta Selatan;0,0039;0,3923;0,1917;0,25;0,1111;0
Dijual Rumah Baru di Tebet, siap huni;0,0453;0,1571;0,0565;0,125;0,3333;0,2222
Dijual Rumah Cantik Tebet Lokasi Premium Nyaman Jalan Lebar;0,1719;0,1665;0,185;0,5;0,5556;0,3333
Rumah Nyaman Jalan Lebar Strategis Di Kebon Baru Dekat Stasiun Tebet;0,0625;0,1994;0,1159;0,5;0,4444;0,2222
Rumah 2 Lantai Luas Murah Strategis Di Kebon Baru Dekat Stasiun Tebet;0,0203;0,0818;0,0579;0,25;0,2222;0
Dijual Rumah Strategis Komplek Gudang Peluru Jakarta Selatan;0,1375;0,0931;0,214;0,375;0,2222;0,1111
Rumah Murah Di Tebet Jaksel;0,0906;0,4111;0,2779;0,375;0,3333;0,3333
Rumah 2 Lantai Di Tebet Barat, Blakang Perkantoran Mt Haryono;0,1563;0,5052;0,2504;0,625;0,4444;0,3333
Rumah Di Pinggir Jalan Tebet Barat Raya, SHM, Investasi Bagus;0,1641;0,27;0,2571;0,875;0,6667;0,5556
Dijual Cepat Rumah Tebet Barat Dalam Lokasi Strategis Jakarta Selatan;0,0406;0,063;0,081;0,125;0,1111;0,1111
Rumah Tebet Bebas banjir, dekat pintu tol;0,3359;0,5992;0,4131;0,5;0,3333;0
Rumah Mewah Dan Sangat Strategis Di Tebet;0,1328;0,2606;0,1382;0,625;0,3333;0,1111
Tebet Mas, lokasi OK depan taman;0,1875;0,1524;0,1991;0,25;0,2222;0,1111
Rumah Di tebet Barat;0,0391;0,0254;0,0416;0,125;0,2222;0
Rumah di tebet;0,0391;0,1759;0,0275;0,25;0,1111;0,1111
Rumah Murah Di Tebet Jakarta Selatan Baru ;0,0438;0,0856;0,0438;0,25;0,3333;0,2222
Rumah Siap Huni Di Tebet Lokasi Sangat Strategis Sekali;0,0281;0,1759;0,0267;0,125;0,2222;0
Dijual Rumah Mewah Terawat Di Daerah Tebet Hrg Menarik;0,1992;0,5052;0,2786;0,5;0,3333;0
Rumah Baru Tebet;0,0813;0,1477;0,0713;0,25;0,3333;0,1111
Dijual Rumah Asri, Tebet, Jakarta Selatan;0,0563;0,1289;0,0691;0,25;0,2222;0
Rumah Lama di tebet berada di pusat kota jakarta selatan;0,1719;0,2437;0,1991;0,25;0,2222;0,1111
di jual rumah bagus tebet;0,0234;0,0292;0,0178;0;0,1111;0,1111
Rumah Lama Tebet Dijual Cepet Dengan Lokasi Strategis;0,0234;0,0913;0,0602;0,125;0,1111;0,1111
Rumah Besar Bangunan Kokoh Siap Huni Di Kebon Baru Tebet Jak Sel;0,1281;0,3641;0,4799;0,75;0,3333;0,1111
Dijual rumah hitung tanah di tebet dalam komplek jalan lebar;0,0859;0,1449;0,1211;0,125;0,1111;0,1111
Rumah Di Tebet Timur, Jalan 1 Mobil, Dekat 2 mobil;0,05;0,0536;0,0661;0,5;0,2222;0,1111
Rumah Di Tebet Barat Dalam, Jalan 2 Mobil, Strategis;0,0703;0,1289;0,1241;0,375;0,1111;0,1111
Tebet rumah minimalis modern akses 2 mobil, jakarta selatan;0,0391;0,1195;0,0342;0,5;0,3333;0,1111
Rumah Dijual di Tebet Jakarta Selatan;0,0391;0,27;0,0342;0,25;0,3333;0,1111
Rumah murah dan strategis di tebet timur jakarta selatan;0,1016;0,0818;0,1738;0,375;0,2222;0
Rumah dua lantai di Tebet Barat Dalam Jakarta Selatan;0,0391;0,1618;0,0639;0,375;0,3333;0,1111
Rumah Siap Huni LT 170 M2 TERMURAH di Tebet Dalam, Jakarta Selatan;0,0391;0,1383;0,0862;0,5;0,1111;0,1111
Newly House dekat Taman Akses JALAN 2 MOBIl bentuk tanah NGANTONG di Tebet Barat;0,0617;0,1524;0,0416;0,375;0,3333;0,1111
Rumah Cantik 3 Lt Semi FURNISH di Tebet Utara;0,025;0,1383;0,0275;0,375;0,2222;0
Rumah siap huni di Tebet - RPA;0,1172;0,4581;0,2868;0,75;0,4444;0,4444
Brand New Rumah Soho Tebet;0,1211;0,1101;0,0617;0,25;0,3333;0,1111
Rumah Brand New Siap Huni Tebet Timur Dalam, Dekat Pspt;0,0453;0,1289;0,0565;0,125;0,2222;0
Di jual rumah siap huni model classic di tebet menteng dalem jakarta selatan;0,0797;0,3076;0,0565;0,625;0,5556;0,2222
Rumah Cantik Tebet Jaksel. Dekat Cbd Kuningan Dan Mal Kokas;0,0234;0,0818;0,0267;0,125;0,1111;0
Dijual Rumah Siap Huni di Tebet Jakarta Selatan;0,0391;0,27;0,0342;0,25;0,3333;0,1111
Rumah Klasik SUPER MEWAH Semi Furnished Tebet Timur, Jakarta Selatan;0,4672;0,8815;0,4577;0,75;0,5556;0,3333
Rumah Tua HITUNG TANAH TERMURAH di Area Komersial Jl. Johar, Menteng;0,8438;0,317;0,7585;0,25;0,2222;0,3333
Rumah Tua Strategis Dijual Hitung Tanah Di Tebet, Jakarta Selatan;0,0391;0,1524;0,2273;0,25;0,1111;0
Dekat Rumah Sakit Tebet Dan Gelael;0,0391;0,1289;0,0676;0,75;0,7778;0,2222
TEBET Rumah Jual Hitung Tanah Jalan Tiga Mobil Lebar;0,0547;0,0818;0,1085;0,125;0,1111;0,1111
Rumah Lama Di Prime Area Tebet, Komersial;0,8438;1;0,8692;0,25;0,3333;0,1111
Rumah Di Area Komersial Tebet Raya;0,3281;0,223;0,3462;0,25;0,3333;0,2222
Rumah Cantik Brand New, Tersisa 2 Unit;0,0344;0,0818;0,0238;0,375;0,3333;0,1111
TEBET - Rumah Baru, Design Menarik di Tengah Kota Jakarta;0,0859;0,223;0,0884;0,25;0,3333;0,1111
Rumah di Tebet Timur Jalan 1 Mobil Lebar, Luas Tanah 135 m2;0,0141;0,063;0,0602;0,375;0,1111;0
TEBET - Sangat Terawat, Area Tenang di Depan Taman;0,078;0,27;0,1233;0,375;0,4444;0,1111
DIJUAL Cepat Rumah Baru Siap Huni Full Furnish, Tebet Barat;0,0703;0,223;0,0884;0,25;0,3333;0,1111
Tebet rumah mewah prime lokasi, jakarta selatan;0,2422;0,6933;0,2281;0,625;0,4444;0,5556
Rumah luas kolam renang di Tebet Jakarta Selatan;0,3438;0,5992;0,4198;0,375;0,4444;1
Rumah jual tebet jl 2mobil 4. 5mly;0,0547;0,1759;0,0639;0,375;0,3333;0,1111
Dijual Rumah Tebet Barat Lokasi Premium Tenang Jalan 1 Mobil;0,0391;0,0818;0,0602;0,125;0,2222;0,1111
Dijual Rumah Baru Siap Huni Depan Taman Tebet;0,0781;0,1477;0,0713;0,25;0,3333;0,1111
Rumah baru 100%, Tebet, Jakarta Selatan;0,0406;0,0856;0,0416;0,125;0,2222;0,1111
4 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta;0,0516;0,1101;0,0602;0,25;0,3333;0,1111
TEBET Rumah Mewah Terawat Dekat Jalan Soepomo;0,1078;0,2982;0,127;0,375;0,3333;0,1111
Dijual Rumah Di Asem Barus Tebet;0,4063;0,27;0,7541;0,25;0,3333;0,4444
