NAMA RUMAH;HARGA;Luas bangunan;Luas tanah;Kamar tidur;Kamar mandi;Kapasitas mobil dalam garasi
RUMAH MEWAH CANTIK SIAP HUNI DI MENTENG DALAM TEBET JAKARTA SELATAN;0,2656;0,1289;0,1464;0,375;0,2222;0,2222
Rumah siap huni 3 lantai di Tebet Jakarta Selatan;0,0703;0,079;0,0394;0,5;0,3333;0,1111
DIJUAL RUMAH di TEBET TIMUR Jakarta Selatan;0,0422;0,27;0,0936;0,25;0,2222;0
Rumah Siap Huni Jalan Lebaaarrr Tebet Barat;0,082;0,0818;0,0713;0,125;0,2222;0,1111
Rumah Murah Di Tebet Timur Dalam, Tebet Jakarta Selatan;0,0422;0,0818;0,0632;0,375;0,2222;0
Rumah Mewah di Tebet Jakarta Selatan;0,0984;0,223;0,2013;0,375;0,3333;0,5556
Rumah Cantik 2 Lantai, akses jalan 2 Mobil, di Tebet Timur;0,093;0,0818;0,101;0,25;0,3333;0,1111
Dijual Rumah Hook Baru Tebet Timur Jakarta Selatan Lokasi Aman Tidak Banjir Dekat Pasar PSPT;0,0375;0,1195;0,0416;0,375;0,5556;0,1111
Dijual Rumah Baru Siap Huni di Tebet Barat;0,0359;0,0536;0,0267;0,125;0,2222;0,1111
House In Dukuh Patra;0,6406;0,5052;0,4235;0,125;0,2222;0,1111
Dijual Rumah Lux Brandnew, Lokasi Strategis Dekat Ke Kokas;0,0891;0,3076;0,0565;0,25;0,4444;0,1111
Dijual Rumah Di Tebet;0,1719;0,317;0,1917;0,25;0,3333;0,1111
Rumah lama siap bangun di jalan 1 mobil Tebet Timur;0,0211;0,063;0,0565;0,25;0,2222;0
Tebet Rumah Lama Jalan 2 Mobil, Acces Mudah Ke Stasiun Kereta Dan Kulineran;0,0375;0,0348;0,0632;0,5;0,3333;0,1111
Rumah Minimalis Modern 2 Lantai Nan Mewah Dekat Mall Basurra City;0,0313;0,1289;0,0713;0,375;0,3333;0,1111
Dijual Rumah Di Tebet;0,0625;0,2493;0,0713;0,625;0,5556;0,1111
Dijual rumah siap huni di Tebet;0,0469;0,1759;0,0743;0,5;0,2222;0,1111
Dijual rumah siap huni di Tebet;0,0203;0,0414;0;0,125;0,1111;0
DIJUAL RUMAH DI TEBET;0,0547;0,1571;0,0936;0,25;0,3333;0
Dijual rumah di Tebet;0,0531;0,1289;0,1048;0,625;0,1111;0,1111
Dijual rumah di Tebet Timur;0,0547;0,0818;0,0929;0,125;0,1111;0
Dijual Rumah Hitung Tanah Tebet Lokasi Strategis Nyaman Jalan 1 Mobil Lebar;0,0281;0,0348;0,0565;0,125;0,1111;0,1111
Dijual Rumah Komplek Gudang Peluru Tebet Lokasi Premium Nyaman Jalan 1 Mobil;0,0438;0,1082;0,1374;0,25;0,2222;0,3333
Dijual rumah di TEBET - BANGUNAN TERAWAT DAN KOKOH DI JALAN 3 MOBIL;0,2188;0,3641;0,3128;0,375;0,4444;0,4444
Rumah Tanjung Duren;0,0391;0,0677;0,0349;0,25;0,1111;0,1111
RUmah Bagus Pinggir Jalan Lokasi Strategis Di Tebet Jakarta Selatan;0,0703;0,1007;0,1605;0,5;0,2222;0
Dijual cepat murah BU rumah lama strategis di tebet jakarta selatan;0,0297;0,0348;0,0632;0,125;0,1111;0,1111
Dijual cepat murah rumah lama strategis di tebet kuningan jakarta selatan;0,0522;0,0348;0,052;0,125;0,1111;0,1111
Rumah Besar di jual di Jalan Gatot Subroto Jakarta Selatan;0,375;0,2728;0,3574;1;1;0,5556
Dijual Rumah Siap Huni 3 lantai di Tebet Jakarta Selatan;0,0297;0,0818;0,0045;0,25;0,3333;0
Dijual Rumah Minimalis di tebet timur area strategis;0,0344;0,0818;0,0282;0,25;0,3333;0,1111
Rumah Murah Dan Strategis Dekat Mall Casablanca Di Tebet Dalam Jaksel;0,0391;0,1383;0,0877;0,375;0,1111;0,1111
Rumah Mewah Modern di Tebet Barat Nego;0,375;0,4581;0,3202;0,25;0,3333;0,2222
Rumah daerah Tebet;0,1016;0,1759;0,1939;0,125;0,2222;0,1111
Tebet Rumah Dekat Lapangan Bola Siap Huni;0,0305;0,0677;0,0587;0,25;0,2222;0
5 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta;0,125;0,27;0,1865;0,375;0,4444;0,2222
4 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta;0,0234;0,0536;0,0602;0,25;0,1111;0
Brand New Minimalis Tebet Dengan Lokasi Strategis Dijual Cepat;0,0328;0,1025;0,0267;0,25;0,2222;0,1111
Dijual cepat dan murah rumah lama strategis di Tebet Jakarta Selatan;0,0391;0,1289;0,1315;0,25;0,2222;0,1111
Dijual rumah di Tebet, Jakarta Selatan, bebas banjir, nyaman, dan aman;0,1719;0,3923;0,1917;0,25;0,1111;0
Dijual Rumah Tebet Timur Lokasi Premium Cocok Untuk Usaha Jalan Lebar;0,0938;0,2512;0,0988;0,625;0,3333;0,1111
Dijual Rumah, Siap Huni,Strategis, Di Tebet Jakarta Selatan;0,0859;0,08;0,0713;0,25;0,2222;0,2222
Rumah di tebet timur dalam;0,0547;0,1289;0,0698;0,25;0,2222;0
Rumah Tua Di Tebet Jalan Depan Dua Mobil;0,0938;0,1101;0,1478;0,125;0,1111;0,1111
Tebet Rumah Tinggal;0,0203;0,0724;0,0171;0,25;0,2222;0
Dijual rumah di Tebet;0,1211;0,1759;0,1085;0,375;0,3333;0,1111
Jual Rumah Mewah Siap Huni Strategis di Tebet Jakarta Selatan;0,1219;0,317;0,1308;0,375;0,4444;0,2222
Townhouse Bidakara;0,1875;0,5052;0,1144;0,25;0,4444;0,3333
Tebet Dijual Rumah cantik 2 lantai semi furnished dan lay out nya bagus;0,0953;0,2041;0,1389;0,375;0,3333;0,2222
Rumah di depan taman di tebet utara, belakang pertokoan Elektronic city;0,0313;0,0715;0,0713;0,125;0,2222;0
Dijual rumah Tebet 2 lantai. akses strategis;0,0406;0,0818;0,0602;0,375;0,2222;0,2222
Rumah Mewah Tebet Utara Jakarta Selatan;0,3281;0,5992;0,4198;0,375;0,3333;1
rumah area komersial, tebet raya, jakarta selatan;0,3281;0,27;0,2927;0,5;0,6667;0,3333
Rumah Tebet Barat Jakarta, Siap Huni;0,0391;0,0913;0,0475;0,25;0,3333;0,1111
Rumah Bagus siap huni akses 2 mobil daerah Tebet Jakarta Selatan;0,1172;0,1712;0,1382;0,125;0,4444;0,1111
Dijual Rumah Mewah Lokasi Bagus di Tebet Jalan Lebar;0,375;0,4581;0,3202;0,375;0,4444;0,1111
3 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta;0,0094;0,0818;0,0267;0,125;0,1111;0
Rumah 2 lantai di Jalan Sawo Kecik Raya, Bukit Duri, Tebet, Jakarta Selatan;0,0703;0,3396;0,1909;0,375;0,3333;0,3333
Rumah Bagus Cakep Dikawasan Elit Tebet Jaksel;0,1094;0,1853;0,1872;0,375;0,3333;0,1111
Dijual Rumah Tinggal Siap Huni Di Tebet lokasi strategis dan premium di Jakarta Selatan;0,1797;0,3923;0,1917;0,25;0,1111;0
Rumah Terawat Siap Huni Di Tebet, Jaksel;0,1016;0,27;0,1233;0,25;0,4444;0
4 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta;0,0313;0,223;0,0416;0,25;0,2222;0
Tebet Rumah Lama Dijalan Lebar Dengan Lokasi Strategis Jual Cepat;0,2188;0,223;0,153;0,25;0,2222;0,3333
RUMAH TOWN HOUSE CANTIK TEBET;0,0453;0,1477;0,0602;0,25;0,3333;0
Dijual Rumah Hitung Tanah Tebet Lokasi Strategis Nyaman Jalan 2 Mobil;0,0781;0,1383;0,1107;0,375;0,2222;0
Dijual rumah di Tebet;0,2656;0,1289;0,2942;0,375;0,2222;0,1111
Rumah Di Tebet;0,0313;0,0818;0,0267;0,25;0,4444;0
Brand New Minimalis Tebet Jalan Lebar Depan Taman Dijual Cepat;0,0625;0,1101;0,0394;0,5;0,4444;0,1111
Dijual Rumah Cantik Kebon Baru Lokasi Strategis Nyaman Jalan 2 Mobil;0,0234;0,0724;0,0602;0,25;0,2222;0
Rumah Tinggal Di Area Komersil Jl Tebet Raya, Strategis Dan Murah;0,3125;0,27;0,3462;0,375;0,3333;0,1111
NEW TOWNHOUSE WITH PRIVATE POOL AT BIDAKARA TEBET JAKARTA SELATAN;0,1797;0,5052;0,1144;0,25;0,4444;0,3333
Rumah Siap Huni Tebet Jalan 2 Mobil Dijual Cepat;0,0313;0,0913;0,0639;0,25;0,2222;0
Rumah Tebet Barat;0,4531;0,4111;0,4822;0,625;0,3333;0,7778
Rumah bagus siap huni dengan lokasi strategis dekat dengan supomo dan casablanca di jalan 1 mobil;0,0586;0,1289;0,0713;0,375;0,4444;0,1111
Rumah Termurah Akses Jalan 2 Mobil Luas Tanah 268 M Di Tebet Barat;0,0922;0,317;0,159;0,375;0,3333;0,2222
For Sale Single House at Tebet & Condition Semi Furnished HSE-A0330;0,1406;0,223;0,2333;0,25;0,3333;0,2222
Rumah Bagus Dan Elite Di Kawasan Tebet Yang Pretigous;0,0891;0,1759;0,0527;0,125;0,2222;0,2222
4 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta;0,0281;0,1289;0,0416;0,25;0,2222;0,1111
5 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta;0,0313;0,1101;0,0602;0,375;0,3333;0,2222
Rumah Minimalis bagus Tebet Utara;0,0484;0,1477;0,0416;0,25;0,2222;0,1111
Rumah Siap Huni Di Tebet Dalam Jakarta Selatan;0,0391;0,0931;0,0706;0,25;0,1111;0,1111
Dijual Rumah Mewah Full Furnish Di Tebet, Jakarta Selatan;0,5313;0,6933;0,4799;0,5;0,6667;1
RumahKomersil di Tebet Timur Raya;0,3281;0,6707;0,5364;0,25;0,2222;0,3333
Rumah modern semi klasik di Tebet;0,4531;0,6933;0,3299;0,5;0,5556;0,8889
Rumah Dekat Jalan Utama Bukitduri, Hanya 2 Rumah Dari Jalan Besar;0,0156;0,0611;0,0698;0,25;0,2222;0,1111
JUAL CEPAT RUMAH MEWAH CLASSIC MODERN BEBAS BANJIR LOKASI PREMIUM TEBET;0,375;0,4581;0,3202;0,375;0,3333;0,3333
Dijual murah, hitung tanah, tebet timur dalam;0,1328;0,2982;0,2467;0,625;0,3333;0,3333
Dijual sangat murah rumah baru daerah tebet;0,0563;0,1759;0,0721;0,375;0,2222;0,3333
Dijual cepat rumah Tebet timur jakarta selatan;0,0781;0,0988;0,1241;0,375;0,2222;0,1111
Brand New Minimalis 3 Lantai Tebet Dijual Cepat, Lokasi Strategis;0,0211;0,0913;0,0193;0,25;0,2222;0
Dijual Rumah Tebet Barat Lokasi Strategis Nyaman Jalan 1 Mobil;0,025;0,0724;0,0223;0,125;0,1111;0
Rumah Siap Huni Di Lokasi Premium Tebet Barat Dalam;0,125;0,223;0,1731;0,25;0,2222;0
Rumah Cantik Minimalis Tebet;0,025;0,0818;0,0267;0,125;0,1111;0
rumah tebet dalam, hoek, SHM;0,1719;0,3829;0,1605;0,375;0,3333;0
Cluster Baru Minimalis Modern Jaya Mandala Tebet Jakarta Selatan;0,2109;0,5052;0,1144;0,25;0,3333;0,1111
Rumah di Kasablangka, Tebet, Menteng, Jakarta Selatan;0,043;0,0602;0,0936;0,25;0,3333;0,1111
Rumah Mewah Murah Dalam Komplek Di Tebet;0,0781;0,2465;0,127;0,625;0,4444;0,1111
Rumah Standard Di Tebet Dalam Jakarta Selatan;0,0656;0,223;0,153;0,625;0,2222;0
Rumah Strategis Siap Huni Di Raya Tebet Jakarta Selatan;0,0609;0,1759;0,1575;0,125;0,1111;0
Rumah Tua Strategis Di Tebet Raya Jakarta Selatan;0,2578;0,6463;0,4978;0,25;0,1111;0,2222
Rumah Mewah Hook Siap Huni Dan Terawat Di Gudang Peluru Tebet;0,1547;0,5484;0,2779;0,375;0,4444;0,5556
Rumah Cantik Dan Luas Di Tebet Jakarta Selatan;0,125;0,223;0,2481;0,25;0,2222;0
Rumah Strategis Di Tebet Jakarta Selatan;0,0859;0,0988;0,1241;0,375;0,1111;0
Rumah di Tebet Jakarta Selatan;0,375;0,5052;0,7028;1;1;1
5 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta;0,0781;0,223;0,0713;0,375;0,3333;0,1111
Rumah Murah Tebet;0,0359;0,0536;0,0267;0,25;0,3333;0
Rumah di Tebet;0,0625;0,3264;0,1122;0,125;0,2222;0
Rumah Tebet Barat Dalam, Jakarta Selatan, Lokasi Strategis;0,0391;0,0913;0,0475;0,25;0,3333;0,1111
4 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta;0,0313;0,0913;0,0267;0,25;0,2222;0
Rumah Baru Hook Modern Minimalis Strategis Siap Huni Di Tebet Timur;0,0359;0,1101;0,0416;0,25;0,3333;0,1111
Rumah Di Tebet Timur Dalam, Jakarta Selatan, Siap Huni, Semi Furnished;0,0531;0,1759;0,0565;0,25;0,2222;0,1111
Rumah Asri Di Tebet Timur Tebet Jakarta Selatan;0,0508;0,1289;0,0713;0,375;0,2222;0,3333
Rumah Siap Huni Tebet Raya, Lingkungan Tenang nyaman, & Strategis;0,1563;0,1994;0,1865;0,375;0,2222;0
Dijual rumah di tebet timur 2 lantai;0,0313;0,0536;0,0267;0,25;0,3333;0
Rumah Siap Huni Jalanan 3 Mobil Di Tebet;0,1219;0,0818;0,1122;0,375;0,1111;0,1111
TERJUAL Tebet Rumah Siap Huni Jalan Dua Mobil 300 Meter dari Mt Haryono;0,0703;0,223;0,1441;0,375;0,3333;0,2222
3 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta;0,0188;0,0913;0,0342;0,125;0,1111;0
5 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta;0,0781;0,1759;0,0862;0,375;0,4444;0,2222
4 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta;0,0938;0,223;0,1382;0,25;0,2222;0,3333
Rumah Bagus 2 Lantai, Bebas Banjir, Tenang Di Tebet, Jakarta Selatan;0,1484;0,4111;0,2162;0,5;0,3333;0,1111
Rumah Mewah 2 Lt Design Apik di Tebet Barat, Jakarta Selatan;0,0781;0,27;0,1159;0,375;0,4444;0
Rumah Tebet Barat;0,0438;0,0818;0,0565;0,125;0,1111;0
Rumah Murah Minimalis Di Tebet Timur, Tebet Jakarta Selatan;0,0703;0,1759;0,0639;0,375;0,2222;0
Dijual rumah murah dan cepat aja di Kebon Baru, Tebet;0,0234;0,1289;0,0505;0,25;0,1111;0
Rumah second bangunan kokoh dan terawat dalam komplek Gudang Peluru , Tebet , Jakarta Selatan;0,1016;0,3923;0,1753;0,375;0,2222;0,1111
Rumah Mewah di Menteng Dalam - Tebet;0,0906;0,2935;0,0565;0,25;0,4444;0,3333
Rumah Mewah di Tebet;0,1797;0,3923;0,1917;0,25;0,2222;0,1111
Jl. Tebet Raya, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12810, Indonesia;0,1328;0,223;0,2333;0,375;0,3333;0,1111
Dijual rumah Tebet Jakarta Selatan;0,0781;0,0818;0,1085;0,375;0,3333;0,1111
Dijual Segera Rumah Tebet Timur Jakarta Selatan;0,0391;0,1665;0,0565;0,375;0,5556;0,1111
Dijual rumah di Tebet;0,125;0,27;0,1865;0,25;0,3333;0,2222
Dijual rumah siap huni di Tebet;0,1094;0,27;0,0921;0,75;0,5556;0,1111
Dijual rumah di tebet timur raya;0,2969;0,3547;0,4502;0,875;0,4444;0,4444
Rumah Brand New Posisi Depan Tama Di Tebet Barat, 3 Lantai;0,1359;0,3641;0,1441;0,375;0,5556;0
4 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta;0,05;0,1101;0,049;0,25;0,2222;0,1111
Rumah tebet barat dalam;0,125;0,27;0,1382;0,5;0,3333;0,2222
Rumah Di Tebet,Lt270/375m,2 Lantai,Dkt Gatot Subroto;0,1203;0,2935;0,1568;0,375;0,3333;0,3333
Rumah Siap Huni Di Tebet Akses Mudah Dekat Ke Supomo Pancoran;0,0391;0,1571;0,0713;0,375;0,3333;0,1111
Dekat Jalan Soepomo Dan Mall Kota Kasablanka. Fasilitas Terdekat Baik.;0,375;0,317;0,6523;0,625;0,4444;0,8889
Rumah Second di Kebon Baru Tebet Jakarta Selatan;0,1875;0,6933;0,2348;0,5;0,4444;0,3333
Town House di Tebet Jakarta Selatan;0,043;0,0536;0,0713;0;0,1111;0,1111
Good House Tebet;0,1406;0,3641;0,5171;0,75;0,5556;0
Rumah Bagus di Daerah Tebet;0,0094;0,016;0,0193;0,25;0,2222;0
Tebet Rumah Mewah Minimalis 2 Lantai;0,0547;0,2418;0,0684;0,375;0,4444;0,2222
Rumah Di Tebet Dalam Akses 2 Mobil Besar, Jakarta Selatan;0,1953;0,1618;0,1501;0,125;0,1111;0,1111
3 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta;0,0156;0,0348;0,0267;0,125;0,1111;0
Tebet Rumah Bagus Minimalis Modern, jakarta Selatan;0,125;0,1392;0,1337;0,625;0,4444;0,3333
Rumah mewah baru minimalia di Tebet utara;0,075;0,2041;0,0862;0,375;0,3333;0,1111
4 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta;0,0344;0,0913;0,0602;0,25;0,2222;0
Rumah Kebon Baru, Tebet, Jakarta Selatan, Hoek, Lokasi Strategis;0,0219;0,0856;0,0691;0,125;0,1111;0
Rumah Tebet Siap Huni Jalan 2 Mobil;0,0898;0,27;0,1159;0,25;0,3333;0,1111
Tebet Rumah Classic, Jakarta Selatan;0,0219;0,0113;0,0349;0;0;0,1111
Dijual Rumah Tebet Barat Lokasi Strategis Nyaman Jalan 1 Mobil;0,0328;0,0818;0,0305;0,125;0,2222;0,1111
Dijual Rumah Bangunan 2 Lantai di Tebet, Jakarta Selatan;0,4219;0,4111;0,4822;0,75;0,3333;0,5556
Dijual Rumah Di Tebet Jakarta Selatan 3 Kmr 150m2 Nyaman Harga Best;0,0281;0,0818;0,0267;0,125;0,2222;0
Rumah Lama Tebet Timur Dalam;0,0219;0,0348;0,0565;0,25;0,1111;0
Rumah Minimalis Clasik Tebet Barat, Jakarta Selatan;0,0547;0,1769;0,0386;0,25;0,2222;0,1111
Rumah, Bukit Duri Tebet Jakarta, Jalan 2mobil, 162m, Dekat Kokas, BU;0,0172;0,0931;0,0802;0,125;0,2222;0,1111
Tebet Rumah siap huni, jalan lebar, lokasi ok;0,075;0,1101;0,0646;0,25;0,2222;0,1111
Tebet Rumah hitung tanah, jalan lebar;0,1297;0,3029;0,2467;0,5;0,3333;0,3333
Rumah Tebet Dijual Cepat Dengan Lokasi Strategis;0,0156;0,063;0,0342;0,125;0,1111;0
5 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta;0,5313;0,317;0,4056;0,375;0,2222;0,3333
4 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta;0,0469;0,1289;0,0639;0,25;0,2222;0,1111
8 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta;0,0859;0,1759;0,0936;0,75;0,3333;0
3 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta;0,0289;0,0913;0,0602;0,125;0,1111;0,1111
Dijual Rumah Minimalis 3 Lantai ada Kolam Renang di Tebet;0,0906;0,223;0,1085;0,375;0,4444;0,3333
Rumah Brand New Di Tebet Dekat Ke Jalan 3 Mobil Lt 112meter;0,0391;0,0818;0,0431;0,125;0,3333;0
Rumah Siap Huni @ Tebet;0,0391;0,0913;0,0416;0,25;0,3333;0,1111
Rumah Mewah Bukit Duri;0,1484;0,6933;0,2994;0,625;0,4444;0,1111
Rumah Mewah Harga Murah Siap Huni Akses Strategis Di Tebet Pancoran;0,1797;0,3923;0,1917;0,5;0,3333;0,3333
Rumah Asem Baris Tebet;0,0703;0,19;0,1456;0,25;0,2222;0,1111
Dijual rumah di komplek gudang peluru Tebet, Jakarta Selatan;0,0734;0,1759;0,0802;0,25;0,3333;0,1111
Dijual Rumah di Tebet Barat, Jakarta Selatan ~ Lokasi Bagus Jalan Dua Mobil;0,3906;0,4581;0,3202;0,25;0,2222;0,1111
Rumah 2 lantai di Tebet Dalam;0,0313;0,0254;0,0788;0,375;0,3333;0
Rumah Tebet Lokasi Strategis, Luas Pusat Bisnis. Dekat Kuningan;0,1328;0,3029;0,2422;0,375;0,3333;0,1111
Rumah Minimalis Di Tebet;0,043;0,0913;0,0416;0,125;0,2222;0,1111
Rumah Di Tebet Nyaman Aman Strategis Jalanan Besar 2 Mobil Bebas Banjir;0,0859;0,1007;0,026;0,125;0,2222;0
Rumah Mewah 2 Lantai Di Asem Baris;0,1016;0,223;0,2013;0,375;0,3333;0,1111
Rumah Mungil Di Tebet Siap Huni;0,0234;0,0536;0,0045;0,125;0,3333;0
Rumah mininalis tebet;0,0453;0,1289;0,0565;0,375;0,3333;0
Rumah Lux Tebet;0,2344;0,3641;0,1902;0,375;0,4444;0
Rumah Baru Di Tebet Timur Lokasi Strategis;0,0469;0,1289;0,0565;0,25;0,2222;0,1111
Rumah Cantik Di Tebet Dekat Supomo Pancoran Kuningan Gatot Subroto;0,075;0,1007;0,0646;0,25;0,2222;0
TEBET - Kondisi Bagus, Dekat Jalan 2 Mobil;0,0453;0,1007;0,0342;0,375;0,2222;0,1111
TEBET - Siap Huni, Terawat, Tengah Kota, Strategis;0,0328;0,1101;0,0364;0,125;0,2222;0,1111
TEBET - Bagus Untuk Investasi dan Harga Sangat Menarik;0,0313;0,0818;0,0632;0,125;0,2222;0
TEBET - Jalan 2 Mobil Lebar, Strategis;0,2031;0,3547;0,2519;0,5;0,5556;0,5556
TEBET - Siap Huni Lokasi Bagus;0,1953;0,2719;0,2526;0,5;0,3333;0,1111
TEBET - Rumah Bagus, Siap Huni;0,0469;0,1289;0,0602;0,25;0,2222;0,1111
TEBET - Rumah Baru;0,0391;0,0536;0,0267;0,125;0,1111;0,1111
TEBET - Siap Huni, Kondisi Sangat Terawat;0,0516;0,223;0,0936;0,375;0,3333;0,1111
TEBET - Area Tenang, Aman dan Nyaman;0,0453;0,1101;0,0743;0,25;0,2222;0,1111
Tebet - Dijual Rumah Mewah Klasik;0,2813;0,6933;0,2281;0,375;0,4444;0,4444
Tebet rumah minimalis modern, jakarta selatan;0,0273;0,1383;0,0275;0,375;0,3333;0
Dijual Rumah sangat strategis di Tebet Barat, dekat sekolah, stasiun, Tebet Mas;0,0297;0,1054;0,0594;0,375;0,1111;0
Rumah Tingkat 2 Lantai Di Komplek Gudang Peluru Tebet Jakarta Selatan;0,1328;0,4111;0,2162;0,75;0,4444;0,3333
Dijual Rumah Cantik Di Tebet Akses Jalan Lebar;0,3438;0,5992;0,6932;0,25;0,3333;0,3333
Di Jual Rumah Mewah Sangat Strategis Di Tebet Akses Jalan 2mobil Lebar, Rumah Menghadap Selatan;0,3125;0,5992;0,3663;0,25;0,3333;0,6667
Di jual rumah di jl persada raya;0,0469;0,1289;0,1233;0,625;0,2222;0
Rumah strategis tebet barat;0,3422;0,5992;0,4428;0,125;0,2222;0,1111
Rumah Baru Semi Furnished Depan TAMAN dekat Gelael, Tebet Barat, Jakarta Selatan;0,0469;0,1101;0,0379;0,375;0,3333;0
Rumah Tebet Barat Dalam - Jakarta Selatan, Tebet, Jakarta Selatan;0,0344;0,0696;0,0238;0,25;0,1111;0
4 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta;0,025;0,0913;0,029;0,25;0,3333;0
Di Jual Rumah Cantik di Tebet Jalan 1 Mobil Jakarta Selatan;0,0828;0,1759;0,0936;0,25;0,2222;0
Rumah Brand New Minimalis Modern Bebas Banjir di Tebet;0,0375;0,0913;0,0416;0,125;0,2222;0
4 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta;0,0352;0,1289;0,0267;0,25;0,2222;0
Dijual Rumah Cantik Minimalis Di Tebet Dekat Taman;0,0313;0,0818;0,0305;0,25;0,3333;0
Rumah Murah Siap Huni Akses 2 Mobil Tebet Timur Jak Sel;0,0484;0,1101;0,075;0,25;0,2222;0
Rumah Strategis Cocok Untuk Usaha Posisi Huk Di Tebet Timur;0,0859;0,063;0,0788;0,25;0;0,1111
Rumah Strategis Siap Huni Akses 1mobil Di Tebet Barat;0,0391;0,0818;0,0602;0,25;0,2222;0
Rumah Siap Huni Hanya 50meter Ke Jalan Asembaris Raya;0,0172;0,0348;0,0535;0;0,1111;0
Rumah 2lantai Strategis Akses 2mobil Lokasi Asembaris Tebet;0,0313;0,1289;0,0527;0;0,1111;0
Rumah Asri Siap Huni Strategis Lokasi Asembaris Bebas Banjir;0,018;0,0611;0,0602;0,125;0,1111;0
Rumah Baru 2,5 Lantai Akses 1mobil Lokasi Tebet Timur;0,0313;0,1289;0,0267;0,125;0,1111;0,1111
Rumah Bagus Siap Huni Tebet Barat Jak Sel;0,0352;0,0536;0,0371;0,25;0,2222;0
Rumah Sederhana Di Tebet Timur Jak Sel;0,0117;0,0207;0,0267;0;0;0
Rumah Siap Huni Ada Kosan 4pintu Lokasi Tebet Barat Jak Sel;0,0438;0,1289;0,0676;0,75;0,7778;0
Rumah Strategis Siap Huni Akses 1mobil Dekat Pasar Tebet Jak Sel;0,0234;0,0536;0,0342;0,125;0,1111;0
Rumah Lama Layak Huni Akses 2 Mbl Bs Utk Kosan Di Menteng Dlm Jak Sel;0,05;0,1759;0,1129;0,375;0,3333;0
Rumah Baru Siap Huni Akses 2mobil Semi Furnised Lokasi Tebet Utara;0,0547;0,0611;0,0267;0,125;0,2222;0
Rumah Siap Huni Posisi Huk Akses 2mobil 200meter Kejalan Supomo;0,0938;0,0818;0,0416;0,25;0,2222;0
Rumah Strategis 100meter Ke Jl Supomo Di Menteng Dalam Tebet Jak Sel;0,025;0,0348;0,0639;0,125;0,1111;0
Rumah Strategis Akses Jalan 2mobil Di Menteng Dalam Tebet Jak Sel;0,125;0,3641;0,3685;1;1;0,2222
Tebet Rumah Siap Huni Jln 2 Mbl Nyaman;0,0469;0,0913;0,0639;0,25;0,2222;0,1111
Di Kebun Baru Rumah Terawat, Area Strategis;0,0469;0,0715;0,1308;0,25;0,3333;0
Dijual Rumah Kokoh Di Gudang Peluru;0,1484;0,3358;0,2793;0,625;0,3333;0,1111
